Annee;PlacetteID;origTreeID;Espece;GrEspece;Etat;Nombre;DHPcm;Veg_Pot;Type_Eco;reg_eco;Altitude;PTot;TMoy;milieu;sdom_bio;hauteur_pred;vol_dm3
2024;P700200801;1;ERR;ERR;vivant;1;11.2;RS2;RS21;5c;481;825.5;2.8;1;5O;19.39793113;47.87237562
2024;P700200801;2;PET;PEU;vivant;1;11.3;RS2;RS21;5c;481;825.5;2.8;1;5O;22.87745991;68.7070026
2024;P700200801;3;PET;PEU;vivant;1;9.2;RS2;RS21;5c;481;825.5;2.8;1;5O;20.78224691;24.7339617
2024;P700200801;4;BOP;BOP;vivant;1;13.8;RS2;RS21;5c;481;825.5;2.8;1;5O;20.49502255;110.7074691
2024;P700200801;5;PET;PEU;vivant;1;16.5;RS2;RS21;5c;481;825.5;2.8;1;5O;26.8381374;226.8506612
2024;P700200801;6;PET;PEU;vivant;1;11.3;RS2;RS21;5c;481;825.5;2.8;1;5O;22.87745991;68.7070026
2024;P700200801;7;PET;PEU;vivant;1;13.3;RS2;RS21;5c;481;825.5;2.8;1;5O;24.57459733;120.8809474
2024;P700200801;8;BOP;BOP;vivant;1;13.1;RS2;RS21;5c;481;825.5;2.8;1;5O;20.07319958;94.16306021
2024;P700200801;9;PET;PEU;vivant;1;16.1;RS2;RS21;5c;481;825.5;2.8;1;5O;26.5807109;212.0385186
2024;P700200801;10;PET;PEU;vivant;1;12.4;RS2;RS21;5c;481;825.5;2.8;1;5O;23.84210732;96.11042789
2024;P700200801;11;PET;PEU;vivant;1;12.1;RS2;RS21;5c;481;825.5;2.8;1;5O;23.58696348;88.32739505
2024;P700200801;12;PET;PEU;vivant;1;9.6;RS2;RS21;5c;481;825.5;2.8;1;5O;21.21049262;32.30084821
2024;P700200801;13;PET;PEU;vivant;1;13.9;RS2;RS21;5c;481;825.5;2.8;1;5O;25.03732656;138.5987236
2024;P700200801;14;EPN;EPX;vivant;1;18.7;RS2;RS21;5c;481;825.5;2.8;1;5O;24.24433585;285.0733268
2024;P700200801;15;PET;PEU;vivant;1;10;RS2;RS21;5c;481;825.5;2.8;1;5O;21.62414888;40.2397621
2024;P700200801;16;BOP;BOP;vivant;1;9.9;RS2;RS21;5c;481;825.5;2.8;1;5O;17.8389333;31.40546845
2024;P700200801;17;PET;PEU;vivant;1;14.6;RS2;RS21;5c;481;825.5;2.8;1;5O;25.5533416;160.5086888
2024;P700200801;18;EPN;EPX;vivant;1;20.3;RS2;RS21;5c;481;825.5;2.8;1;5O;25.27388579;352.6818423
2024;P700200801;19;PET;PEU;vivant;1;10.6;RS2;RS21;5c;481;825.5;2.8;1;5O;22.21909972;52.86375307
2024;P700200801;20;PET;PEU;vivant;1;14.9;RS2;RS21;5c;481;825.5;2.8;1;5O;25.76707235;170.311899
2024;P700200801;22;PET;PEU;vivant;1;18.8;RS2;RS21;5c;481;825.5;2.8;1;5O;28.19976691;320.9436038
2024;P700200801;23;PET;PEU;vivant;1;12.7;RS2;RS21;5c;481;825.5;2.8;1;5O;24.09163037;104.1289907
2024;P700200801;24;BOP;BOP;vivant;1;10;RS2;RS21;5c;481;825.5;2.8;1;5O;17.91775196;33.06225457
2024;P700200801;25;BOP;BOP;vivant;1;11.2;RS2;RS21;5c;481;825.5;2.8;1;5O;18.81428044;54.4319839
2024;P700200801;26;EPN;EPX;vivant;1;15.7;RS2;RS21;5c;481;825.5;2.8;1;5O;22.09676763;176.9811583
2024;P700200801;27;EPN;EPX;vivant;1;16.6;RS2;RS21;5c;481;825.5;2.8;1;5O;22.77377978;206.8636317
2024;P700200801;28;EPN;EPX;vivant;1;17.6;RS2;RS21;5c;481;825.5;2.8;1;5O;23.49212769;242.619879
2024;P700200801;29;BOP;BOP;vivant;1;10.2;RS2;RS21;5c;481;825.5;2.8;1;5O;18.07339822;36.43205953
2024;P700200801;30;BOP;BOP;vivant;1;9.6;RS2;RS21;5c;481;825.5;2.8;1;5O;17.59836986;26.54625897
2024;P700200801;31;BOP;BOP;vivant;1;10.2;RS2;RS21;5c;481;825.5;2.8;1;5O;18.07339822;36.43205953
2024;P700200801;32;PET;PEU;vivant;1;12;RS2;RS21;5c;481;825.5;2.8;1;5O;23.50063048;85.78501393
2024;P700200801;33;PET;PEU;vivant;1;12.3;RS2;RS21;5c;481;825.5;2.8;1;5O;23.75769405;93.49001985
2024;P700200801;34;PET;PEU;vivant;1;9.1;RS2;RS21;5c;481;825.5;2.8;1;5O;20.67279927;22.89932142
2024;P700200801;35;BOJ;BOJ;vivant;1;25.4;RS2;RS21;5c;481;825.5;2.8;1;5O;38.90270626;850.2760193
2024;P700200801;36;PIG;PIG;vivant;1;19.5;RS2;RS21;5c;481;825.5;2.8;1;5O;35.71182219;459.6108154
2024;P700200801;37;BOP;BOP;vivant;1;10.3;RS2;RS21;5c;481;825.5;2.8;1;5O;18.15024584;38.1452897
2024;P700200801;38;PET;PEU;vivant;1;9.9;RS2;RS21;5c;481;825.5;2.8;1;5O;21.52205517;38.21968779
2024;P700200801;39;PET;PEU;vivant;1;15.2;RS2;RS21;5c;481;825.5;2.8;1;5O;25.97654957;180.3651544
2024;P700200801;40;PET;PEU;vivant;1;10.2;RS2;RS21;5c;481;825.5;2.8;1;5O;21.82577217;44.35136364
2034;P700200801;1;ERR;ERR;vivant;0.899498399;12.31733178;RS2;RS21;5c;481;856.1666667;3.3;1;5O;20.376645;69.56021218
2034;P700200801;2;PET;PEU;vivant;0.699621532;12.4883662;RS2;RS21;5c;481;856.1666667;3.3;1;5O;23.93621795;98.53024401
2034;P700200801;3;PET;PEU;vivant;0.567565521;10.15193288;RS2;RS21;5c;481;856.1666667;3.3;1;5O;21.79619606;43.39143905
2034;P700200801;4;BOP;BOP;vivant;0.877722596;15.05150342;RS2;RS21;5c;481;856.1666667;3.3;1;5O;21.15987637;142.6615121
2034;P700200801;5;PET;PEU;vivant;0.837290958;18.09125395;RS2;RS21;5c;481;856.1666667;3.3;1;5O;27.82317554;290.5527095
2034;P700200801;6;PET;PEU;vivant;0.699621532;12.4883662;RS2;RS21;5c;481;856.1666667;3.3;1;5O;23.93621795;98.53024401
2034;P700200801;7;PET;PEU;vivant;0.770501339;14.67003863;RS2;RS21;5c;481;856.1666667;3.3;1;5O;25.62481959;162.9097982
2034;P700200801;8;BOP;BOP;vivant;0.874606607;14.31796535;RS2;RS21;5c;481;856.1666667;3.3;1;5O;20.75399907;123.3905707
2034;P700200801;9;PET;PEU;vivant;0.830516408;17.66953835;RS2;RS21;5c;481;856.1666667;3.3;1;5O;27.57713079;273.0078285
2034;P700200801;10;PET;PEU;vivant;0.742301739;13.69361922;RS2;RS21;5c;481;856.1666667;3.3;1;5O;24.90105818;132.5046404
2034;P700200801;11;PET;PEU;vivant;0.729185831;13.37111174;RS2;RS21;5c;481;856.1666667;3.3;1;5O;24.65099607;123.0325595
2034;P700200801;12;PET;PEU;vivant;0.595189038;10.60536771;RS2;RS21;5c;481;856.1666667;3.3;1;5O;22.24317028;53.02563817
2034;P700200801;13;PET;PEU;vivant;0.787112668;15.31512474;RS2;RS21;5c;481;856.1666667;3.3;1;5O;26.07733721;184.4418498
2034;P700200801;14;EPN;EPX;vivant;0.91242358;20.10850919;RS2;RS21;5c;481;856.1666667;3.3;1;5O;25.21732405;345.084642
2034;P700200801;15;PET;PEU;vivant;0.625069611;11.05226053;RS2;RS21;5c;481;856.1666667;3.3;1;5O;22.66782055;63.01371995
2034;P700200801;16;BOP;BOP;vivant;0.849662983;10.93474732;RS2;RS21;5c;481;856.1666667;3.3;1;5O;18.58690291;49.3702788
2034;P700200801;17;PET;PEU;vivant;0.800852996;16.07529708;RS2;RS21;5c;481;856.1666667;3.3;1;5O;26.58644927;211.3123547
2034;P700200801;18;EPN;EPX;vivant;0.910004505;21.73853928;RS2;RS21;5c;481;856.1666667;3.3;1;5O;26.2048755;420.429925
2034;P700200801;19;PET;PEU;vivant;0.663468516;11.71742099;RS2;RS21;5c;481;856.1666667;3.3;1;5O;23.27268332;78.80650052
2034;P700200801;20;PET;PEU;vivant;0.807900991;16.39391044;RS2;RS21;5c;481;856.1666667;3.3;1;5O;26.79249772;223.060912
2034;P700200801;22;PET;PEU;vivant;0.865508065;20.51722447;RS2;RS21;5c;481;856.1666667;3.3;1;5O;29.12398039;401.5897295
2034;P700200801;23;PET;PEU;vivant;0.752186314;14.02025378;RS2;RS21;5c;481;856.1666667;3.3;1;5O;25.14861796;142.3853522
2034;P700200801;24;BOP;BOP;vivant;0.851115038;11.03839898;RS2;RS21;5c;481;856.1666667;3.3;1;5O;18.66178286;51.28992031
2034;P700200801;25;BOP;BOP;vivant;0.862403822;12.31733178;RS2;RS21;5c;481;856.1666667;3.3;1;5O;19.53777976;76.74445584
2034;P700200801;26;EPN;EPX;vivant;0.9206529;17.02299616;RS2;RS21;5c;481;856.1666667;3.3;1;5O;23.14144544;222.2318961
2034;P700200801;27;EPN;EPX;vivant;0.92032889;17.93160427;RS2;RS21;5c;481;856.1666667;3.3;1;5O;23.78355557;255.7247414
2034;P700200801;28;EPN;EPX;vivant;0.916628616;18.96789126;RS2;RS21;5c;481;856.1666667;3.3;1;5O;24.48359175;296.6568022
2034;P700200801;29;BOP;BOP;vivant;0.853699071;11.24750179;RS2;RS21;5c;481;856.1666667;3.3;1;5O;18.81098294;55.22698509
2034;P700200801;30;BOP;BOP;vivant;0.846164924;10.61190941;RS2;RS21;5c;481;856.1666667;3.3;1;5O;18.34964356;43.52569141
2034;P700200801;31;BOP;BOP;vivant;0.853699071;11.24750179;RS2;RS21;5c;481;856.1666667;3.3;1;5O;18.81098294;55.22698509
2034;P700200801;32;PET;PEU;vivant;0.723803361;13.2647363;RS2;RS21;5c;481;856.1666667;3.3;1;5O;24.56725401;119.9697723
2034;P700200801;33;PET;PEU;vivant;0.737128239;13.58815057;RS2;RS21;5c;481;856.1666667;3.3;1;5O;24.81990662;129.3760901
2034;P700200801;34;PET;PEU;vivant;0.559265204;10.03865119;RS2;RS21;5c;481;856.1666667;3.3;1;5O;21.6818727;41.06193397
2034;P700200801;35;BOJ;BOJ;vivant;0.930863642;26.75351642;RS2;RS21;5c;481;856.1666667;3.3;1;5O;39.48920857;954.0546634
2034;P700200801;36;PIG;PIG;vivant;0.931916247;20.62704211;RS2;RS21;5c;481;856.1666667;3.3;1;5O;36.41290442;526.1530699
2034;P700200801;37;BOP;BOP;vivant;0.854821414;11.35322675;RS2;RS21;5c;481;856.1666667;3.3;1;5O;18.88549204;57.25061776
2034;P700200801;38;PET;PEU;vivant;0.615547102;10.94272354;RS2;RS21;5c;481;856.1666667;3.3;1;5O;22.565141;60.51976336
2034;P700200801;39;PET;PEU;vivant;0.814658867;16.71129697;RS2;RS21;5c;481;856.1666667;3.3;1;5O;26.9936322;235.0517782
2034;P700200801;40;PET;PEU;vivant;0.641471424;11.27178028;RS2;RS21;5c;481;856.1666667;3.3;1;5O;22.8709311;68.10213538
2034;P700200801;41;NA;AUT;vivant;0.026056401;10.19496055;RS2;RS21;5c;481;856.1666667;3.3;1;5O;16.02141483;30.57504555
2034;P700200801;42;BOP;BOP;vivant;0.931280139;10.00872995;RS2;RS21;5c;481;856.1666667;3.3;1;5O;17.88914416;33.14208892
2034;P700200801;43;EPN;EPX;vivant;2.308890038;10.25508728;RS2;RS21;5c;481;856.1666667;3.3;1;5O;17.27401512;41.42394119
2034;P700200801;44;ERR;ERR;vivant;0.131898371;10.01465753;RS2;RS21;5c;481;856.1666667;3.3;1;5O;18.71991247;28.41127888
2034;P700200801;45;MEL;MEL;vivant;0.004498718;10.62236615;RS2;RS21;5c;481;856.1666667;3.3;1;5O;25.28513648;65.9157423
2034;P700200801;46;PEU;PEU;vivant;2.173464164;10.24797152;RS2;RS21;5c;481;856.1666667;3.3;1;5O;21.89227205;45.39045845
2034;P700200801;47;PIG;PIG;vivant;0.025650413;10.30598957;RS2;RS21;5c;481;856.1666667;3.3;1;5O;27.48164169;67.65802388
2034;P700200801;48;PIN;PIN;vivant;0.001936431;11.51159095;RS2;RS21;5c;481;856.1666667;3.3;1;5O;19.11127926;69.13773973
2034;P700200801;49;PRP;PRP;vivant;0.018713328;9.798770174;RS2;RS21;5c;481;856.1666667;3.3;1;5O;17.72328309;NA
2034;P700200801;50;SAB;SAB;vivant;2.471550921;10.09075808;RS2;RS21;5c;481;856.1666667;3.3;1;5O;16.50236192;36.4154604
2034;P700200801;51;SAL;SAL;vivant;0.007667842;9.922471713;RS2;RS21;5c;481;856.1666667;3.3;1;5O;17.82136329;NA
2034;P700200801;52;THO;THO;vivant;0.003890128;10.20327871;RS2;RS21;5c;481;856.1666667;3.3;1;5O;10.57166723;24.22678828
2034;P700200801;53;EPB;EPX;vivant;0.047120205;10.25508728;RS2;RS21;5c;481;856.1666667;3.3;1;5O;17.27401512;41.42394119
2044;P700200801;1;ERR;ERR;vivant;0.80731275;13.40629289;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;21.27041476;93.36356905
2044;P700200801;2;PET;PEU;vivant;0.484403983;13.62213843;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;24.85671974;130.4365961
2044;P700200801;3;PET;PEU;vivant;0.315641089;11.08558771;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;22.70872737;63.80611663
2044;P700200801;4;BOP;BOP;vivant;0.737727151;16.25106028;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;21.73993616;176.4022119
2044;P700200801;5;PET;PEU;vivant;0.69109132;19.55028926;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;28.63966098;355.4056624
2044;P700200801;6;PET;PEU;vivant;0.484403983;13.62213843;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;24.85671974;130.4365961
2044;P700200801;7;PET;PEU;vivant;0.584154098;15.96663699;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;26.52639131;207.458981
2044;P700200801;8;BOP;BOP;vivant;0.732415875;15.49052699;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;21.3507145;154.4545824
2044;P700200801;9;PET;PEU;vivant;0.677045072;19.13265181;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;28.41638987;336.2391188
2044;P700200801;10;PET;PEU;vivant;0.543136131;14.92330353;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;25.81574328;171.2978259
2044;P700200801;11;PET;PEU;vivant;0.524798873;14.58227746;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;25.57257565;160.1377169
2044;P700200801;12;PET;PEU;vivant;0.352419259;11.58064043;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;23.16084831;75.4998823
2044;P700200801;13;PET;PEU;vivant;0.609178985;16.64919449;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;26.96593341;232.7807846
2044;P700200801;14;EPN;EPX;vivant;0.803815654;21.47184349;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;26.09840765;408.398807
2044;P700200801;15;PET;PEU;vivant;0.388947619;12.06651476;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;23.58807176;87.58437594
2044;P700200801;16;BOP;BOP;vivant;0.689503479;11.9607362;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;19.2627729;69.17272338
2044;P700200801;17;PET;PEU;vivant;0.630049201;17.46440333;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;27.46664255;264.7707979
2044;P700200801;18;BOJ;BOJ;vivant;0.798869752;23.11675758;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;27.04058404;490.6892858
2044;P700200801;19;PET;PEU;vivant;0.436795559;12.78880235;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;24.19501387;106.6828337
2044;P700200801;20;PET;PEU;vivant;0.640988463;17.79761204;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;27.66411434;278.3982172
2044;P700200801;22;PET;PEU;vivant;0.735245297;22.08933554;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;29.88662176;483.0469917
2044;P700200801;23;PET;PEU;vivant;0.557240036;15.27392116;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;26.06002941;183.1092451
2044;P700200801;24;BOP;BOP;vivant;0.691958587;12.06585827;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;19.33279634;71.33178056
2044;P700200801;25;BOP;BOP;vivant;0.711599621;13.40629289;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;20.17998647;100.8716161
2044;P700200801;26;EPN;EPX;vivant;0.82133932;18.31730911;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;24.09602155;271.1593376
2044;P700200801;27;EPN;EPX;vivant;0.818857978;19.23992777;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;24.71075576;308.4945044
2044;P700200801;28;EPN;EPX;vivant;0.812811558;20.29388367;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;25.38274327;353.9812493
2044;P700200801;29;BOP;BOP;vivant;0.696385256;12.2799453;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;19.47371441;75.79881513
2044;P700200801;30;BOP;BOP;vivant;0.683753457;11.61542819;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;19.02880151;62.23863163
2044;P700200801;31;BOP;BOP;vivant;0.696385256;12.2799453;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;19.47371441;75.79881513
2044;P700200801;32;PET;PEU;vivant;0.517407084;14.47125546;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;25.49219467;156.5739902
2044;P700200801;33;PET;PEU;vivant;0.535877793;14.81421753;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;25.73856614;167.6928724
2044;P700200801;34;PET;PEU;vivant;0.3032186;10.9647544;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;22.59566836;61.0454501
2044;P700200801;35;BOJ;BOJ;vivant;0.84402156;28.00347744;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;39.99077761;1054.277538
2044;P700200801;36;PIG;PIG;vivant;0.850823705;21.66047963;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;37.01433314;590.5993179
2044;P700200801;37;BOP;BOP;vivant;0.698554155;12.38620986;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;19.54283478;78.0511159
2044;P700200801;38;PET;PEU;vivant;0.377654397;11.94988727;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;23.48696055;84.62820245
2044;P700200801;39;PET;PEU;vivant;0.6515968;18.12814608;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;27.85605697;292.234416
2044;P700200801;40;PET;PEU;vivant;0.409059737;12.30112939;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;23.78880282;93.63815354
2044;P700200801;41;NA;AUT;vivant;0.020883979;11.18638079;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;16.77428389;46.24289345
2044;P700200801;42;BOP;BOP;vivant;0.743187001;10.99696589;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;18.59384011;50.41677668
2044;P700200801;43;EPN;EPX;vivant;2.101792516;11.41310216;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;18.48530621;64.19568611
2044;P700200801;44;ERR;ERR;vivant;0.114034555;11.00297309;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;19.66298977;45.35159099
2044;P700200801;45;MEL;MEL;vivant;0.004089919;11.79121131;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;26.55425885;97.42620791
2044;P700200801;46;PEU;PEU;vivant;1.232151009;11.18809856;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;22.80379629;66.17681024
2044;P700200801;47;PIG;PIG;vivant;0.016590736;10.97495974;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;28.28923843;87.10079506
2044;P700200801;48;PIN;PIN;vivant;0.001416757;12.25428501;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;19.7753677;86.05484291
2044;P700200801;49;PRP;PRP;vivant;0.014878851;10.77114354;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;18.4296472;NA
2044;P700200801;50;SAB;SAB;vivant;2.232912447;11.65516518;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;17.93834576;65.08472954
2044;P700200801;51;SAL;SAL;vivant;0.006108638;10.90610253;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;18.52813154;NA
2044;P700200801;52;THO;THO;vivant;0.003510857;11.77456861;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;11.56121566;43.1224471
2044;P700200801;53;EPB;EPX;vivant;0.044527295;12.00204011;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;19.05026299;76.99968486
2044;P700200801;54;NA;AUT;vivant;0.019037792;10.20496033;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;16.1585966;30.97198609
2044;P700200801;55;BOP;BOP;vivant;0.824874258;10.01702897;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;17.85886052;33.21189323
2044;P700200801;56;EPN;EPX;vivant;2.337400191;10.26563618;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;17.32434722;41.70999446
2044;P700200801;57;ERR;ERR;vivant;0.105014989;10.02301068;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;18.91363242;28.82880729
2044;P700200801;58;MEL;MEL;vivant;0.002572178;10.63626923;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;25.30090603;66.26891253
2044;P700200801;59;PEU;PEU;vivant;1.393140069;10.25845543;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;21.91227678;45.62993629
2044;P700200801;60;PIG;PIG;vivant;0.015131998;10.31700333;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;27.4953103;67.96700529
2044;P700200801;61;PIN;PIN;vivant;0.001086144;11.53361493;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;19.13142002;69.61963534
2044;P700200801;62;PRP;PRP;vivant;0.012543319;9.805151728;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;17.69188735;NA
2044;P700200801;63;SAB;SAB;vivant;2.798564856;10.09980623;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;16.49092991;36.52168897
2044;P700200801;64;SAL;SAL;vivant;0.004795291;9.929982978;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;17.79062826;NA
2044;P700200801;65;THO;THO;vivant;0.002321834;10.21335446;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;10.68662038;24.58561308
2044;P700200801;66;EPB;EPX;vivant;0.047702045;10.26563618;RS2;RS21;5c;481;887.9666667;3.766666667;1;5O;17.32434722;41.70999446
2054;P700200801;1;ERR;ERR;vivant;0.73376607;14.41343265;RS2;RS21;5c;481;881.3333333;4.3;1;5O;22.16942707;118.4530238
2054;P700200801;2;PET;PEU;vivant;0.314115644;14.6564493;RS2;RS21;5c;481;881.3333333;4.3;1;5O;25.75882401;163.3804025
2054;P700200801;3;PET;PEU;vivant;0.159900505;11.93607869;RS2;RS21;5c;481;881.3333333;4.3;1;5O;23.59859351;84.72450472
2054;P700200801;4;BOP;BOP;vivant;0.605126753;17.36613156;RS2;RS21;5c;481;881.3333333;4.3;1;5O;22.28789798;211.0415325
2054;P700200801;5;PET;PEU;vivant;0.541566307;20.89546775;RS2;RS21;5c;481;881.3333333;4.3;1;5O;29.47194835;422.7810759
2054;P700200801;6;PET;PEU;vivant;0.314115644;14.6564493;RS2;RS21;5c;481;881.3333333;4.3;1;5O;25.75882401;163.3804025
2054;P700200801;7;PET;PEU;vivant;0.417005493;17.15839365;RS2;RS21;5c;481;881.3333333;4.3;1;5O;27.42171651;253.8347539
2054;P700200801;8;BOP;BOP;vivant;0.598951276;16.57976533;RS2;RS21;5c;481;881.3333333;4.3;1;5O;21.91170525;186.3704131
2054;P700200801;9;PET;PEU;vivant;0.522970365;20.48313466;RS2;RS21;5c;481;881.3333333;4.3;1;5O;29.26723612;402.1113623
