VegPotID,SpeciesID,SpeciesGroupID,RelationHDSpeciesID,VolumeSpeciesID,HarvestSpeciesID
1,1,12,8,10,6
1,2,12,8,10,6
1,3,12,8,10,6
1,4,12,8,10,6
1,5,12,8,10,6
1,6,12,8,10,6
1,7,12,8,10,6
1,8,12,8,10,6
1,9,6,3,5,6
1,10,12,8,10,6
1,11,26,5,7,10
1,12,12,8,10,6
1,13,12,8,10,6
1,14,12,8,10,6
1,15,12,8,10,6
1,16,9,7,9,4
1,17,12,8,10,6
1,18,12,8,10,6
1,19,12,8,10,6
1,20,12,8,10,6
1,21,12,8,10,6
1,22,26,5,7,10
1,23,12,8,10,6
1,24,26,5,7,10
1,25,26,5,7,10
1,26,26,5,7,10
1,27,12,8,10,6
1,28,12,8,10,6
1,29,12,8,10,6
1,30,12,8,10,6
1,31,12,8,10,6
1,32,12,8,10,6
1,33,26,5,7,10
1,34,26,5,7,10
1,35,26,5,7,10
1,36,26,5,7,10
1,37,12,8,10,6
1,38,26,5,7,10
1,39,26,5,7,10
1,40,12,8,10,6
1,41,12,8,10,6
1,42,12,8,10,6
1,43,26,5,7,10
1,44,12,8,10,6
2,1,16,2,3,8
2,2,11,8,10,6
2,3,16,2,3,8
2,4,16,2,3,8
2,5,11,8,10,6
2,6,11,8,10,6
2,7,11,8,10,6
2,8,16,2,3,8
2,9,16,2,3,8
2,10,11,8,10,6
2,11,11,8,10,6
2,12,16,2,3,8
2,13,11,8,10,6
2,14,11,8,10,6
2,15,11,8,10,6
2,16,11,8,10,6
2,17,10,8,10,5
2,18,11,8,10,6
2,19,11,8,10,6
2,20,11,8,10,6
2,21,11,8,10,6
2,22,11,8,10,6
2,23,11,8,10,6
2,24,11,8,10,6
2,25,11,8,10,6
2,26,11,8,10,6
2,27,16,2,3,8
2,28,11,8,10,6
2,29,11,8,10,6
2,30,11,8,10,6
2,31,20,12,16,6
2,32,16,2,3,8
2,33,11,8,10,6
2,34,11,8,10,6
2,35,11,8,10,6
2,36,11,8,10,6
2,37,16,2,3,8
2,38,11,8,10,6
2,39,11,8,10,6
2,40,16,2,3,8
2,41,11,8,10,6
2,42,11,8,10,6
2,43,11,8,10,6
2,44,11,8,10,6
3,1,2,2,1,11
3,2,3,1,2,1
3,3,4,2,3,2
3,4,1,2,3,6
3,5,1,2,3,6
3,6,1,2,3,6
3,7,1,2,3,6
3,8,5,2,4,6
3,9,6,3,5,6
3,10,1,2,3,6
3,11,7,5,7,3
3,12,1,2,3,6
3,13,1,2,3,6
3,14,1,2,3,6
3,15,8,2,3,11
3,16,9,7,9,4
3,17,10,8,10,5
3,18,13,9,11,6
3,19,1,2,3,6
3,20,1,2,3,6
3,21,17,10,13,7
3,22,1,2,3,6
3,23,1,2,3,6
3,24,1,2,3,6
3,25,1,2,3,6
3,26,1,2,3,6
3,27,1,2,3,6
3,28,19,2,3,6
3,29,1,2,3,6
3,30,1,2,3,6
3,31,20,12,16,6
3,32,21,14,19,8
3,33,1,2,3,6
3,34,1,2,3,6
3,35,1,2,3,6
3,36,1,2,3,6
3,37,24,2,3,11
3,38,25,17,23,10
3,39,27,18,24,11
3,40,1,2,3,6
3,41,1,2,3,6
3,42,1,2,3,6
3,43,1,2,3,6
3,44,31,20,26,6
3,45,1,2,3,6
3,46,1,2,3,6
4,1,16,2,3,8
4,2,3,1,2,1
4,3,4,2,3,2
4,4,16,2,3,8
4,5,11,8,10,6
4,6,11,8,10,6
4,7,11,8,10,6
4,8,5,2,4,6
4,9,6,3,5,6
4,10,11,8,10,6
4,11,7,5,7,3
4,12,16,2,3,8
4,13,11,8,10,6
4,14,11,8,10,6
4,15,8,2,3,11
4,16,9,7,9,4
4,17,10,8,10,5
4,18,13,9,11,6
4,19,14,9,12,6
4,20,11,8,10,6
4,21,17,10,13,7
4,22,11,8,10,6
4,23,11,8,10,6
4,24,11,8,10,6
4,25,11,8,10,6
4,26,11,8,10,6
4,27,16,2,3,8
4,28,11,8,10,6
4,29,11,8,10,6
4,30,11,8,10,6
4,31,20,12,16,6
4,32,21,14,19,8
4,33,11,8,10,6
4,34,11,8,10,6
4,35,11,8,10,6
4,36,11,8,10,6
4,37,24,2,3,11
4,38,25,17,23,10
4,39,27,18,24,11
4,40,16,2,3,8
4,41,11,8,10,6
4,42,11,8,10,6
4,43,30,2,3,11
4,44,31,20,26,6
4,45,11,8,10,6
4,46,11,8,10,6
5,1,1,2,3,6
5,2,1,2,3,6
5,3,1,2,3,6
5,4,1,2,3,6
5,5,1,2,3,6
5,6,1,2,3,6
5,7,1,2,3,6
5,8,1,2,3,6
5,9,1,2,3,6
5,10,1,2,3,6
5,11,1,2,3,6
5,12,1,2,3,6
5,13,1,2,3,6
5,14,1,2,3,6
5,15,1,2,3,6
5,16,1,2,3,6
5,17,10,8,10,5
5,18,1,2,3,6
5,19,1,2,3,6
5,20,1,2,3,6
5,21,17,10,13,7
5,22,1,2,3,6
5,23,1,2,3,6
5,24,1,2,3,6
5,25,1,2,3,6
5,26,1,2,3,6
5,27,1,2,3,6
5,28,1,2,3,6
5,29,1,2,3,6
5,30,1,2,3,6
5,31,1,2,3,6
5,32,1,2,3,6
5,33,1,2,3,6
5,34,1,2,3,6
5,35,1,2,3,6
5,36,1,2,3,6
5,37,1,2,3,6
5,38,1,2,3,6
5,39,1,2,3,6
5,40,1,2,3,6
5,41,1,2,3,6
5,42,1,2,3,6
5,43,1,2,3,6
5,44,1,2,3,6
6,1,16,2,3,8
6,2,15,8,10,6
6,3,16,2,3,8
6,4,16,2,3,8
6,5,15,8,10,6
6,6,15,8,10,6
6,7,15,8,10,6
6,8,16,2,3,8
6,9,16,2,3,8
6,10,15,8,10,6
6,11,26,5,7,10
6,12,16,2,3,8
6,13,15,8,10,6
6,14,15,8,10,6
6,15,15,8,10,6
6,16,9,7,9,4
6,17,10,8,10,5
6,18,15,8,10,6
6,19,15,8,10,6
6,20,15,8,10,6
6,21,17,10,13,7
6,22,26,5,7,10
6,23,15,8,10,6
6,24,26,5,7,10
6,25,26,5,7,10
6,26,26,5,7,10
6,27,16,2,3,8
6,28,15,8,10,6
6,29,15,8,10,6
6,30,15,8,10,6
6,31,20,12,16,6
6,32,16,2,3,8
6,33,26,5,7,10
6,34,26,5,7,10
6,35,26,5,7,10
6,36,26,5,7,10
6,37,16,2,3,8
6,38,26,5,7,10
6,39,27,18,24,11
6,40,16,2,3,8
6,41,15,8,10,6
6,42,15,8,10,6
6,43,26,5,7,10
6,44,15,8,10,6
7,1,1,2,3,6
7,2,3,1,2,1
7,3,4,2,3,2
7,4,1,2,3,6
7,5,1,2,3,6
7,6,1,2,3,6
7,7,1,2,3,6
7,8,1,2,3,6
7,9,6,3,5,6
7,10,1,2,3,6
7,11,7,5,7,3
7,12,1,2,3,6
7,13,1,2,3,6
7,14,1,2,3,6
7,15,1,2,3,6
7,16,9,7,9,4
7,17,10,8,10,5
7,18,1,2,3,6
7,19,1,2,3,6
7,20,1,2,3,6
7,21,17,10,13,7
7,22,1,2,3,6
7,23,1,2,3,6
7,24,1,2,3,6
7,25,1,2,3,6
7,26,1,2,3,6
7,27,1,2,3,6
7,28,1,2,3,6
7,29,1,2,3,6
7,30,1,2,3,6
7,31,20,12,16,6
7,32,21,14,19,8
7,33,1,2,3,6
7,34,1,2,3,6
7,35,23,15,20,9
7,36,1,2,3,6
7,37,1,2,3,6
7,38,1,2,3,6
7,39,27,18,24,11
7,40,1,2,3,6
7,41,1,2,3,6
7,42,1,2,3,6
7,43,1,2,3,6
7,44,1,2,3,6
8,1,16,2,3,8
8,2,15,8,10,6
8,3,16,2,3,8
8,4,16,2,3,8
8,5,15,8,10,6
8,6,15,8,10,6
8,7,15,8,10,6
8,8,16,2,3,8
8,9,16,2,3,8
8,10,15,8,10,6
8,11,26,5,7,10
8,12,16,2,3,8
8,13,15,8,10,6
8,14,15,8,10,6
8,15,15,8,10,6
8,16,15,8,10,6
8,17,15,8,10,6
8,18,15,8,10,6
8,19,15,8,10,6
8,20,15,8,10,6
8,21,15,8,10,6
8,22,26,5,7,10
8,23,15,8,10,6
8,24,26,5,7,10
8,25,26,5,7,10
8,26,26,5,7,10
8,27,16,2,3,8
8,28,15,8,10,6
8,29,15,8,10,6
8,30,15,8,10,6
8,31,15,8,10,6
8,32,16,2,3,8
8,33,26,5,7,10
8,34,26,5,7,10
8,35,26,5,7,10
8,36,26,5,7,10
8,37,16,2,3,8
8,38,26,5,7,10
8,39,26,5,7,10
8,40,16,2,3,8
8,41,15,8,10,6
8,42,15,8,10,6
8,43,26,5,7,10
8,44,15,8,10,6
9,1,1,2,3,6
9,2,3,1,2,1
9,3,4,2,3,2
9,4,1,2,3,6
9,5,1,2,3,6
9,6,1,2,3,6
9,7,1,2,3,6
9,8,1,2,3,6
9,9,1,2,3,6
9,10,1,2,3,6
9,11,7,5,7,3
9,12,1,2,3,6
9,13,1,2,3,6
9,14,1,2,3,6
9,15,1,2,3,6
9,16,9,7,9,4
9,17,1,2,3,6
9,18,1,2,3,6
9,19,14,9,12,6
9,20,1,2,3,6
9,21,1,2,3,6
9,22,1,2,3,6
9,23,1,2,3,6
9,24,1,2,3,6
9,25,1,2,3,6
9,26,1,2,3,6
9,27,1,2,3,6
9,28,1,2,3,6
9,29,1,2,3,6
9,30,1,2,3,6
9,31,1,2,3,6
9,32,21,14,19,8
9,33,1,2,3,6
9,34,1,2,3,6
9,35,1,2,3,6
9,36,1,2,3,6
9,37,1,2,3,6
9,38,1,2,3,6
9,39,27,18,24,11
9,40,1,2,3,6
9,41,1,2,3,6
9,42,1,2,3,6
9,43,1,2,3,6
9,44,1,2,3,6
10,1,2,2,1,11
10,2,3,1,2,1
10,3,4,2,3,2
10,4,1,2,3,6
10,5,1,2,3,6
10,6,1,2,3,6
10,7,1,2,3,6
10,8,5,2,4,6
10,9,6,3,5,6
10,10,1,2,3,6
10,11,7,5,7,3
10,12,1,2,3,6
10,13,1,2,3,6
10,14,1,2,3,6
10,15,8,2,3,11
10,16,9,7,9,4
10,17,10,8,10,5
10,18,1,2,3,6
10,19,14,9,12,6
10,20,1,2,3,6
10,21,17,10,13,7
10,22,1,2,3,6
10,23,1,2,3,6
10,24,1,2,3,6
10,25,1,2,3,6
10,26,1,2,3,6
10,27,1,2,3,6
10,28,19,2,3,6
10,29,1,2,3,6
10,30,1,2,3,6
10,31,20,12,16,6
10,32,21,14,19,8
10,33,1,2,3,6
10,34,1,2,3,6
10,35,23,15,20,9
10,36,1,2,3,6
10,37,24,2,3,11
10,38,25,17,23,10
10,39,27,18,24,11
10,40,1,2,3,6
10,41,1,2,3,6
10,42,1,2,3,6
10,43,30,19,25,12
10,44,1,2,3,6
10,45,1,2,3,6
10,46,1,2,3,6
11,1,16,2,1,11
11,2,3,1,2,1
11,3,4,2,3,2
11,4,16,2,3,8
11,5,11,8,10,6
11,6,11,8,10,6
11,7,11,8,10,6
11,8,16,2,3,8
11,9,16,2,3,8
11,10,11,8,10,6
11,11,7,5,7,3
11,12,16,2,3,8
11,13,11,8,10,6
11,14,11,8,10,6
11,15,8,2,3,11
11,16,9,7,9,4
11,17,10,8,10,5
11,18,11,8,10,6
11,19,14,9,12,6
11,20,11,8,10,6
11,21,11,8,10,6
11,22,11,8,10,6
11,23,11,8,10,6
11,24,11,8,10,6
11,25,11,8,10,6
11,26,11,8,10,6
11,27,16,2,3,8
11,28,11,8,10,6
11,29,11,8,10,6
11,30,11,8,10,6
11,31,11,8,10,6
11,32,21,14,19,8
11,33,11,8,10,6
11,34,11,8,10,6
11,35,23,15,20,9
11,36,11,8,10,6
11,37,24,2,3,11
11,38,25,17,23,10
11,39,27,18,24,11
11,40,16,2,3,8
11,41,29,2,3,8
11,42,11,8,10,6
11,43,30,19,25,12
11,44,11,8,10,6
11,45,11,8,10,6
11,46,11,8,10,6
12,1,16,2,3,8
12,2,3,1,2,1
12,3,4,2,3,2
12,4,16,2,3,8
12,5,15,8,10,6
12,6,15,8,10,6
12,7,15,8,10,6
12,8,16,2,3,8
12,9,16,2,3,8
12,10,15,8,10,6
12,11,7,5,7,3
12,12,16,2,3,8
12,13,15,8,10,6
12,14,15,8,10,6
12,15,8,2,3,11
12,16,9,7,9,4
12,17,10,8,10,5
12,18,15,8,10,6
12,19,15,8,10,6
12,20,15,8,10,6
12,21,15,8,10,6
12,22,26,5,7,10
12,23,15,8,10,6
12,24,26,5,7,10
12,25,26,5,7,10
12,26,26,5,7,10
12,27,16,2,3,8
12,28,15,8,10,6
12,29,15,8,10,6
12,30,15,8,10,6
12,31,15,8,10,6
12,32,21,14,19,8
12,33,26,5,7,10
12,34,26,5,7,10
12,35,26,5,7,10
12,36,26,5,7,10
12,37,24,2,3,11
12,38,26,5,7,10
12,39,27,18,24,11
12,40,16,2,3,8
12,41,29,2,3,11
12,42,15,8,10,6
12,43,30,19,25,12
12,44,15,8,10,6
13,1,2,2,1,11
13,2,3,1,2,1
13,3,4,2,3,2
13,4,12,8,10,6
13,5,12,8,10,6
13,6,12,8,10,6
13,7,12,8,10,6
13,8,12,8,10,6
13,9,12,8,10,6
13,10,12,8,10,6
13,11,7,5,7,3
13,12,12,8,10,6
13,13,12,8,10,6
13,14,12,8,10,6
13,15,12,8,10,6
13,16,9,7,9,4
13,17,12,8,10,6
13,18,12,8,10,6
13,19,12,8,10,6
13,20,12,8,10,6
13,21,12,8,10,6
13,22,26,5,7,10
13,23,12,8,10,6
13,24,26,5,7,10
13,25,26,5,7,10
13,26,26,5,7,10
13,27,12,8,10,6
13,28,12,8,10,6
13,29,12,8,10,6
13,30,12,8,10,6
13,31,12,8,10,6
13,32,21,14,19,8
13,33,26,5,7,10
13,34,22,16,21,10
13,35,23,15,20,9
13,36,26,5,7,10
13,37,24,2,3,11
13,38,26,5,7,10
13,39,27,18,24,11
13,40,28,2,3,11
13,41,29,2,3,11
13,42,12,8,10,6
13,43,30,19,25,12
13,44,12,8,10,6
14,1,12,8,10,6
14,2,12,8,10,6
14,3,4,2,3,2
14,4,12,8,10,6
14,5,12,8,10,6
14,6,12,8,10,6
14,7,12,8,10,6
14,8,12,8,10,6
14,9,12,8,10,6
14,10,12,8,10,6
14,11,7,5,7,3
14,12,12,8,10,6
14,13,12,8,10,6
14,14,12,8,10,6
14,15,12,8,10,6
14,16,9,7,9,4
14,17,12,8,10,6
14,18,12,8,10,6
14,19,12,8,10,6
14,20,12,8,10,6
14,21,12,8,10,6
14,22,26,5,7,10
14,23,12,8,10,6
14,24,26,5,7,10
14,25,26,5,7,10
14,26,26,5,7,10
14,27,12,8,10,6
14,28,12,8,10,6
14,29,12,8,10,6
14,30,12,8,10,6
14,31,12,8,10,6
14,32,21,14,19,8
14,33,26,5,7,10
14,34,26,5,7,10
14,35,26,5,7,10
14,36,26,5,7,10
14,37,24,2,3,11
14,38,26,5,7,10
14,39,27,18,24,11
14,40,12,8,10,6
14,41,12,8,10,6
14,42,12,8,10,6
14,43,26,5,7,10
14,44,12,8,10,6
15,1,12,8,10,6
15,2,12,8,10,6
15,3,12,8,10,6
15,4,12,8,10,6
15,5,12,8,10,6
15,6,12,8,10,6
15,7,12,8,10,6
15,8,12,8,10,6
15,9,12,8,10,6
15,10,12,8,10,6
15,11,7,5,7,3
15,12,12,8,10,6
15,13,12,8,10,6
15,14,12,8,10,6
15,15,12,8,10,6
15,16,12,8,10,6
15,17,12,8,10,6
15,18,12,8,10,6
15,19,12,8,10,6
15,20,12,8,10,6
15,21,12,8,10,6
15,22,26,5,7,10
15,23,12,8,10,6
15,24,26,5,7,10
15,25,26,5,7,10
15,26,26,5,7,10
15,27,12,8,10,6
15,28,12,8,10,6
15,29,12,8,10,6
15,30,12,8,10,6
15,31,12,8,10,6
15,32,12,8,10,6
15,33,26,5,7,10
15,34,26,5,7,10
15,35,26,5,7,10
15,36,26,5,7,10
15,37,12,8,10,6
15,38,26,5,7,10
15,39,27,18,24,11
15,40,12,8,10,6
15,41,12,8,10,6
15,42,12,8,10,6
15,43,26,5,7,10
15,44,12,8,10,6
16,1,1,2,3,6
16,2,1,2,3,6
16,3,1,2,3,6
16,4,1,2,3,6
16,5,1,2,3,6
16,6,1,2,3,6
16,7,1,2,3,6
16,8,1,2,3,6
16,9,1,2,3,6
16,10,1,2,3,6
16,11,7,5,7,3
16,12,1,2,3,6
16,13,1,2,3,6
16,14,1,2,3,6
